"","...1","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"26","Adap2",399.881663482643,-0.405092235997414,0.112093822309556,-3.61386763026708,0.00030166311430144,0.0265463540585267,"Adap2"
"27","Cnp",96.0744305123468,-0.858300166189924,0.226876588265819,-3.78311474423399,0.00015487797088951,0.0194218161567029,"Cnp"
"28","Rpl38",1702.3406349441,0.410974871980074,0.11273231968369,3.64558161433392,0.00026678772614183,0.0251542713219448,"Rpl38"
"29","Rps29",7632.29899271167,0.391305648683308,0.104032497956608,3.76137895724203,0.00016897919005387,0.0194218161567029,"Rps29"
"30","Ndufb1-ps",233.527336190992,0.54966115668008,0.147894306787653,3.71658090577674,0.00020193699599025,0.0205043719005489,"Ndufb1-ps"
"31","Smim15",120.387577250379,0.675174911143243,0.18078548820717,3.73467426970428,0.00018795830097791,0.0205043719005489,"Smim15"
"32","Mrpl52",324.753382146514,0.4243430674832,0.111546124260256,3.80419373866488,0.00014226680496719,0.0187792182556703,"Mrpl52"
"33","Psme1",257.482114585703,0.409973689153575,0.121699035651669,3.36875051604365,0.00075509742738405,0.0443569612692759,"Psme1"
"34","Mycbp2",442.374865392479,-0.394554773762504,0.118268736393373,-3.33608682898392,0.00084966621824638,0.045777935023887,"Mycbp2"
"35","Rpl37",2879.42450525619,0.432085494194609,0.112497574741704,3.84084274871421,0.00012261264374926,0.0187792182556703,"Rpl37"
"36","Golgb1",165.132975154029,-0.498134956407126,0.148356951869931,-3.35767855923501,0.00078599958719682,0.0443569612692759,"Golgb1"
"37","Rps28",2428.73624621153,0.448178533315386,0.095211740625416,4.70717718604284,2.51170581255902e-06,0.00094727190645083,"Rps28"
"38","Lst1",229.768779678562,0.476914404590462,0.132429433117334,3.60127196321917,0.00031666410576703,0.0269675238459665,"Lst1"
"39","Gm42418",7005.22648020436,-0.953162677324079,0.248305265005728,-3.83867284208448,0.00012370112219301,0.0187792182556703,"Gm42418"
"40","Rpl36",1485.86504626553,0.360418290998682,0.0993132130900778,3.62910714279055,0.00028440319041658,0.0258904973344753,"Rpl36"
"41","Tmem258",216.380646699103,0.598676481388002,0.159178243357825,3.76104465509276,0.00016920521651673,0.0194218161567029,"Tmem258"
"42","Gpr34",2935.12161279401,0.369735250478244,0.090711049705033,4.07596705892523,4.58235059913422e-05,0.0109976414379221,"Gpr34"
"43","Rpl39",2745.0985474478,0.467096613161451,0.118921476298226,3.92777341571247,8.57359268041353e-05,0.0174109882125321,"Rpl39"
"44","Plp1",371.953859705423,-1.95214353948085,0.401104423997937,-4.86692098786447,1.13350318911134e-06,0.00059848968385078,"Plp1"
"45","mt-Nd1",3400.45943825033,-0.447252531917969,0.0989104818833241,-4.52179105188824,6.13185731432836e-06,0.00202351291372836,"mt-Nd1"
"46","mt-Nd2",3762.1855128662,-0.616109941113553,0.122418662503189,-5.03281059044002,4.83340625828507e-07,0.00041683438718602,"mt-Nd2"
"47","mt-Co1",6177.59660763029,-0.495775586691916,0.0842357991397819,-5.88556874576829,3.96687452320111e-09,5.23627437062547e-06,"mt-Co1"
"48","mt-Co2",5925.38290287449,-0.383259300729529,0.0946057656584166,-4.05111990862507,5.09730757706902e-05,0.0112140766695519,"mt-Co2"
"49","mt-Atp6",8077.67307020715,-0.496211501005437,0.0996147487398105,-4.98130555246914,6.31567253312161e-07,0.00041683438718602,"mt-Atp6"
"50","mt-Co3",8418.15405981851,-0.42093364779017,0.0937164181109445,-4.49156781997211,7.07007794835624e-06,0.00207388953151783,"mt-Co3"
"51","mt-Nd4",3383.05246794108,-0.547889026403886,0.089117314675305,-6.147952599336,7.84894802565726e-10,2.07212227877352e-06,"mt-Nd4"
