"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"Lpl",48.5727704771873,1.11176427471803,0.382499870408618,2.90657425198694,0.00365410163352828,0.999933000809316,"Lpl"
"Yjefn3",2.10637265768852,-3.36920543295177,1.39121321550987,-2.42177503447376,0.0154449086176064,0.999933000809316,"Yjefn3"
"Zfp617",35.9317419592056,-0.742826401580195,0.358416863689254,-2.07252079027236,0.0382168994321514,0.999933000809316,"Zfp617"
"Mt3",138.688115791095,-0.711416003929441,0.310925801225866,-2.28805715422969,0.0221341929421664,0.999933000809316,"Mt3"
"Adat1",8.51314961136748,1.92198566691081,0.921415495620689,2.08590551824409,0.0369871823408626,0.999933000809316,"Adat1"
"Gcsh",46.6052189885039,-0.646132677898977,0.317722703429303,-2.03363710218067,0.0419881981162157,0.999933000809316,"Gcsh"
"Atp5l",593.381929420108,-0.373274996189226,0.134123354251773,-2.7830723312252,0.00538468001642437,0.999933000809316,"Atp5l"
"Neil1",6.92668049718177,5.05703235566571,1.57935414198321,3.20196225864551,0.00136494880051759,0.999933000809316,"Neil1"
"Calml4",26.2144314360771,-0.957500041184246,0.452567994815632,-2.11570427461251,0.0343699668009682,0.999933000809316,"Calml4"
"Car12",6.82278214425266,-1.76109276598602,0.777367817914999,-2.26545622985718,0.02348469710196,0.999933000809316,"Car12"
"Mras",77.4004339510515,-0.51473672014756,0.260281447014361,-1.97761586948285,0.0479720576225569,0.999933000809316,"Mras"
"Nicn1",16.3869307920364,1.35421525599758,0.630305946358852,2.14850464892582,0.0316736874755057,0.999933000809316,"Nicn1"
"Wdr48",53.7639182454044,0.691079286442437,0.33065146382938,2.09005361246198,0.0366129839900781,0.999933000809316,"Wdr48"
"Plekhg1",1.57964739286756,-3.32118455350442,1.68645276871095,-1.96933149574239,0.0489150366802487,0.999933000809316,"Plekhg1"
"Ddx21",194.439833895548,-0.441962486561797,0.195603708064634,-2.2594790811213,0.0238536001125856,0.999933000809316,"Ddx21"
"Pcbp3",2.9527746919114,3.97591906957762,1.7064118280414,2.32998799248897,0.0198067857598385,0.999933000809316,"Pcbp3"
"Sbno2",67.7560803935554,0.696986811395829,0.311287363239714,2.23904627589748,0.0251529053222207,0.999933000809316,"Sbno2"
"Rxylt1",86.1018019817775,-0.500653824085064,0.245793082314653,-2.03689143474002,0.0416609226582246,0.999933000809316,"Rxylt1"
"Ppm1h",130.378928185716,0.452071838511222,0.21386994483995,2.11376983731646,0.034534930351047,0.999933000809316,"Ppm1h"
"Cdk4",90.6509700095658,-0.472423441419646,0.231231133757912,-2.04307886114615,0.0410446321223516,0.999933000809316,"Cdk4"
"Rpl41",3508.45396701772,-0.285393976918799,0.142904675062556,-1.99709335467065,0.0458150426989068,0.999933000809316,"Rpl41"
"Rad50",91.8090386783006,-0.572339700392293,0.24770769941189,-2.31054465303722,0.0208580193871101,0.999933000809316,"Rad50"
"Map2k3os",3.89182455206428,4.28267502672975,1.68346822009546,2.54395953283092,0.0109603781625928,0.999933000809316,"Map2k3os"
"Aldoc",30.3426057597419,-0.924692561684401,0.361788586156565,-2.55589202386898,0.010591597945299,0.999933000809316,"Aldoc"
"Ccl2",34.9449483451362,3.7832199857928,1.54495922717996,2.44875069790571,0.0143352630869428,0.999933000809316,"Ccl2"
"Ccl5",14.4588433804754,-2.67307710056733,1.28031318797483,-2.08783063837336,0.0368131147587248,0.999933000809316,"Ccl5"
"Ccl9",346.786722665458,0.502113872445035,0.234553783320157,2.1407195626415,0.0322966599666247,0.999933000809316,"Ccl9"
"Ccl3",83.2789462795259,3.05934762354202,0.478521708211557,6.39333090023467,1.6231048050892e-10,2.98813594616923e-06,"Ccl3"
"Ccl4",158.826800599039,4.04555215109412,0.768559917320372,5.26380840312252,1.41101498481072e-07,0.00129883929351827,"Ccl4"
"Fbxl20",99.7457114717756,0.572914753357749,0.24497030003963,2.33871107340386,0.0193503916770765,0.999933000809316,"Fbxl20"
"Icam2",2.75431880462414,3.74776465840767,1.76538113209323,2.12292098871812,0.033760473336015,0.999933000809316,"Icam2"
"Rpl38",3034.8891797636,-0.403093880951956,0.179800243053179,-2.24189842075316,0.0249679381412514,0.999933000809316,"Rpl38"
"Unk",41.673678331212,0.72071413045881,0.362723955739872,1.98694935653953,0.0469280092802983,0.999933000809316,"Unk"
"Ndufaf8",114.029334710474,-0.530164228790769,0.222588870607497,-2.38180924025459,0.0172278191704552,0.999933000809316,"Ndufaf8"
