"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"Slc4a5",5.42015231891447,2.03178792631949,0.737780113448926,2.75392069978874,0.00588860342566134,0.773229711726721,"Slc4a5"
"Slc6a11",3.01589760962426,3.21934279565965,1.10544183898422,2.91226791146052,0.00358814736000816,0.627399978741332,"Slc6a11"
"Slc6a1",5.04214360764075,1.70085507236762,0.706068423433894,2.40890969758381,0.0160002563832128,0.999789643489582,"Slc6a1"
"Timp4",3.35029751449831,2.54964731105373,0.93680072157276,2.7216538718856,0.00649561373046923,0.824683356669338,"Timp4"
"Tmem72",8.6992978466765,1.10877552142588,0.557764723180049,1.98789108623486,0.0468237368001923,0.999789643489582,"Tmem72"
"Cxcl12",3.85528216365408,1.5403783915404,0.776817545709375,1.98293460291729,0.0473747348868616,0.999789643489582,"Cxcl12"
"Slc25a18",4.12859685837453,1.69172817752063,0.7699620697013,2.19715781347115,0.0280091773322752,0.999789643489582,"Slc25a18"
"Slco1c1",12.7340944428147,1.24440828131502,0.4482724576961,2.77600878651049,0.00550307212375672,0.765112002416429,"Slco1c1"
"Slco1a4",5.03533232159146,1.9000716390837,0.73753037685549,2.57626221062891,0.00998748752772044,0.999789643489582,"Slco1a4"
"Bhlhe41",215.775897595115,-0.396818295576382,0.17863309814036,-2.22141529037683,0.0263228463441017,0.999789643489582,"Bhlhe41"
"Myadm",78.120330571049,-0.363859732170171,0.176160082361079,-2.06550614244355,0.0388751349521572,0.999789643489582,"Myadm"
"Ttyh1",12.6439906722142,1.70313660230237,0.452872547860411,3.76074153831759,0.00016941040390733,0.068363295918214,"Ttyh1"
"Cox6b2",8.47499743403739,1.01825076980836,0.511558476979703,1.99048753100569,0.046537256200901,0.999789643489582,"Cox6b2"
"Selenow",147.085992321443,1.15971168779721,0.179198447338846,6.47166147374211,9.69310964738946e-11,1.45793181014599e-07,"Selenow"
"C5ar1",55.0591373514736,-0.529302893507833,0.210706863502756,-2.51203441932925,0.0120037380394464,0.999789643489582,"C5ar1"
"Fosb",2.30535819733566,2.67861289939497,1.18421844140537,2.2619246633384,0.0237020582824439,0.999789643489582,"Fosb"
"Apoe",719.265054544141,0.861058479661652,0.109640109271269,7.85349891918878,4.04588295315232e-15,1.67347833649763e-11,"Apoe"
"Bcam",3.00142219369265,2.47595431346038,1.00130307497923,2.47273215805489,0.0134084592722719,0.999789643489582,"Bcam"
