"","group","pseudotime_bin_num","features","value","Geno","new_group"
"102","Kbk.3m.DCF",11,"stage2_DAM2",0.487780323534968,"Kbk","Kbk.3m
(HPBCD)"
"103","Kbk.3m.DCF",12,"homeostatic3",2.87843904300495,"Kbk","Kbk.3m
(HPBCD)"
"104","Kbk.3m.DCF",12,"stage1_DAM1",1.46892634953661,"Kbk","Kbk.3m
(HPBCD)"
"105","Kbk.3m.DCF",12,"stage2_DAM2",0.463095947240749,"Kbk","Kbk.3m
(HPBCD)"
"106","Kbk.3m.DCF",13,"homeostatic3",2.92825620136714,"Kbk","Kbk.3m
(HPBCD)"
"107","Kbk.3m.DCF",13,"stage1_DAM1",1.56357271846245,"Kbk","Kbk.3m
(HPBCD)"
"108","Kbk.3m.DCF",13,"stage2_DAM2",0.470690131306735,"Kbk","Kbk.3m
(HPBCD)"
"109","Kbk.3m.DCF",14,"homeostatic3",2.87807504252546,"Kbk","Kbk.3m
(HPBCD)"
"110","Kbk.3m.DCF",14,"stage1_DAM1",1.48980094325224,"Kbk","Kbk.3m
(HPBCD)"
"111","Kbk.3m.DCF",14,"stage2_DAM2",0.494004020914606,"Kbk","Kbk.3m
(HPBCD)"
"112","Kbk.3m.DCF",15,"homeostatic3",2.89955552021152,"Kbk","Kbk.3m
(HPBCD)"
"113","Kbk.3m.DCF",15,"stage1_DAM1",1.48160095412645,"Kbk","Kbk.3m
(HPBCD)"
"114","Kbk.3m.DCF",15,"stage2_DAM2",0.501512797139618,"Kbk","Kbk.3m
(HPBCD)"
"115","Kbk.3m.DCF",16,"homeostatic3",2.89691741670032,"Kbk","Kbk.3m
(HPBCD)"
"116","Kbk.3m.DCF",16,"stage1_DAM1",1.62543750942883,"Kbk","Kbk.3m
(HPBCD)"
"117","Kbk.3m.DCF",16,"stage2_DAM2",0.521315193721111,"Kbk","Kbk.3m
(HPBCD)"
"118","Kbk.3m.DCF",17,"homeostatic3",2.86855468845667,"Kbk","Kbk.3m
(HPBCD)"
"119","Kbk.3m.DCF",17,"stage1_DAM1",1.50332561323315,"Kbk","Kbk.3m
(HPBCD)"
"120","Kbk.3m.DCF",17,"stage2_DAM2",0.484755585314171,"Kbk","Kbk.3m
(HPBCD)"
"121","Kbk.3m.DCF",18,"homeostatic3",2.91460186137196,"Kbk","Kbk.3m
(HPBCD)"
