"","group","Cellproportion","bin_num","bin","Geno","new_group"
"159","Kbk.3m.DMSO_PEG",0.0838762214983713,19,"(9.98,10.5]","Kbk","Kbk.3m
(PEG)"
"160","Kbk.3m.TCF",0.012214983713355,19,"(9.98,10.5]","Kbk","Kbk.3m
(TCF)"
"161","Kbk.3m.Un",0.0439739413680782,19,"(9.98,10.5]","Kbk","Kbk.3m
(Un)"
"162","WT.1m.Un",0.139250814332248,19,"(9.98,10.5]","WT","WT.1m
(Un)"
"163","WT.3m.DCF",0.186482084690554,19,"(9.98,10.5]","WT","WT.3m
(HPBCD)"
"164","WT.3m.DMSO_PEG",0.1685667752443,19,"(9.98,10.5]","WT","WT.3m
(PEG)"
"165","WT.3m.TCF",0.194625407166124,19,"(9.98,10.5]","WT","WT.3m
(TCF)"
"166","WT.3m.Un",0.0773615635179153,19,"(9.98,10.5]","WT","WT.3m
(Un)"
"167","Kbk.1m.Un",0.0641247833622184,20,"(10.5,11.1]","Kbk","Kbk.1m
(Un)"
"168","Kbk.3m.DCF",0.0537261698440208,20,"(10.5,11.1]","Kbk","Kbk.3m
(HPBCD)"
"169","Kbk.3m.DMSO_PEG",0.0901213171577123,20,"(10.5,11.1]","Kbk","Kbk.3m
(PEG)"
"170","Kbk.3m.TCF",0.0467937608318891,20,"(10.5,11.1]","Kbk","Kbk.3m
(TCF)"
"171","Kbk.3m.Un",0.0641247833622184,20,"(10.5,11.1]","Kbk","Kbk.3m
(Un)"
"172","WT.1m.Un",0.123050259965338,20,"(10.5,11.1]","WT","WT.1m
(Un)"
"173","WT.3m.DCF",0.161178509532062,20,"(10.5,11.1]","WT","WT.3m
(HPBCD)"
"174","WT.3m.DMSO_PEG",0.140381282495667,20,"(10.5,11.1]","WT","WT.3m
(PEG)"
"175","WT.3m.TCF",0.154246100519931,20,"(10.5,11.1]","WT","WT.3m
(TCF)"
"176","WT.3m.Un",0.102253032928943,20,"(10.5,11.1]","WT","WT.3m
(Un)"
"177","Kbk.1m.Un",0.0629453681710214,21,"(11.1,11.6]","Kbk","Kbk.1m
(Un)"
"178","Kbk.3m.DCF",0.0415676959619952,21,"(11.1,11.6]","Kbk","Kbk.3m
(HPBCD)"
"179","Kbk.3m.DMSO_PEG",0.0938242280285036,21,"(11.1,11.6]","Kbk","Kbk.3m
(PEG)"
"180","Kbk.3m.TCF",0.0166270783847981,21,"(11.1,11.6]","Kbk","Kbk.3m
(TCF)"
"181","Kbk.3m.Un",0.0534441805225653,21,"(11.1,11.6]","Kbk","Kbk.3m
(Un)"
"182","WT.1m.Un",0.109263657957245,21,"(11.1,11.6]","WT","WT.1m
(Un)"
"183","WT.3m.DCF",0.179334916864608,21,"(11.1,11.6]","WT","WT.3m
(HPBCD)"
"184","WT.3m.DMSO_PEG",0.165083135391924,21,"(11.1,11.6]","WT","WT.3m
(PEG)"
"185","WT.3m.TCF",0.185273159144893,21,"(11.1,11.6]","WT","WT.3m
(TCF)"
"186","WT.3m.Un",0.0926365795724466,21,"(11.1,11.6]","WT","WT.3m
(Un)"
"187","Kbk.1m.Un",0.0592718035563082,22,"(11.6,12.2]","Kbk","Kbk.1m
(Un)"
"188","Kbk.3m.DCF",0.0508044030482642,22,"(11.6,12.2]","Kbk","Kbk.3m
(HPBCD)"
"189","Kbk.3m.DMSO_PEG",0.0914479254868755,22,"(11.6,12.2]","Kbk","Kbk.3m
(PEG)"
"190","Kbk.3m.TCF",0.0237087214225233,22,"(11.6,12.2]","Kbk","Kbk.3m
(TCF)"
"191","Kbk.3m.Un",0.0618120237087214,22,"(11.6,12.2]","Kbk","Kbk.3m
(Un)"
"192","WT.1m.Un",0.116003386960203,22,"(11.6,12.2]","WT","WT.1m
(Un)"
"193","WT.3m.DCF",0.154106689246401,22,"(11.6,12.2]","WT","WT.3m
(HPBCD)"
"194","WT.3m.DMSO_PEG",0.16342082980525,22,"(11.6,12.2]","WT","WT.3m
(PEG)"
"195","WT.3m.TCF",0.187976291278577,22,"(11.6,12.2]","WT","WT.3m
(TCF)"
"196","WT.3m.Un",0.0914479254868755,22,"(11.6,12.2]","WT","WT.3m
(Un)"
"197","Kbk.1m.Un",0.0631578947368421,23,"(12.2,12.8]","Kbk","Kbk.1m
(Un)"
"198","Kbk.3m.DCF",0.0631578947368421,23,"(12.2,12.8]","Kbk","Kbk.3m
(HPBCD)"
"199","Kbk.3m.DMSO_PEG",0.113157894736842,23,"(12.2,12.8]","Kbk","Kbk.3m
(PEG)"
"200","Kbk.3m.TCF",0.0289473684210526,23,"(12.2,12.8]","Kbk","Kbk.3m
(TCF)"
"201","Kbk.3m.Un",0.068421052631579,23,"(12.2,12.8]","Kbk","Kbk.3m
(Un)"
"202","WT.1m.Un",0.102631578947368,23,"(12.2,12.8]","WT","WT.1m
(Un)"
"203","WT.3m.DCF",0.163157894736842,23,"(12.2,12.8]","WT","WT.3m
(HPBCD)"
"204","WT.3m.DMSO_PEG",0.119736842105263,23,"(12.2,12.8]","WT","WT.3m
(PEG)"
"205","WT.3m.TCF",0.202631578947368,23,"(12.2,12.8]","WT","WT.3m
(TCF)"
"206","WT.3m.Un",0.075,23,"(12.2,12.8]","WT","WT.3m
(Un)"
"207","Kbk.1m.Un",0.0599415204678363,24,"(12.8,13.3]","Kbk","Kbk.1m
(Un)"
"208","Kbk.3m.DCF",0.0687134502923977,24,"(12.8,13.3]","Kbk","Kbk.3m
(HPBCD)"
"209","Kbk.3m.DMSO_PEG",0.0672514619883041,24,"(12.8,13.3]","Kbk","Kbk.3m
(PEG)"
"210","Kbk.3m.TCF",0.0774853801169591,24,"(12.8,13.3]","Kbk","Kbk.3m
(TCF)"
"211","Kbk.3m.Un",0.0994152046783626,24,"(12.8,13.3]","Kbk","Kbk.3m
(Un)"
"212","WT.1m.Un",0.137426900584795,24,"(12.8,13.3]","WT","WT.1m
(Un)"
"213","WT.3m.DCF",0.0628654970760234,24,"(12.8,13.3]","WT","WT.3m
(HPBCD)"
"214","WT.3m.DMSO_PEG",0.112573099415205,24,"(12.8,13.3]","WT","WT.3m
(PEG)"
"215","WT.3m.TCF",0.184210526315789,24,"(12.8,13.3]","WT","WT.3m
(TCF)"
"216","WT.3m.Un",0.130116959064327,24,"(12.8,13.3]","WT","WT.3m
(Un)"
"217","Kbk.1m.Un",0.0409356725146199,25,"(13.3,13.9]","Kbk","Kbk.1m
(Un)"
"218","Kbk.3m.DCF",0.0292397660818713,25,"(13.3,13.9]","Kbk","Kbk.3m
(HPBCD)"
"219","Kbk.3m.DMSO_PEG",0.105263157894737,25,"(13.3,13.9]","Kbk","Kbk.3m
(PEG)"
"220","Kbk.3m.TCF",0.0233918128654971,25,"(13.3,13.9]","Kbk","Kbk.3m
(TCF)"
"221","Kbk.3m.Un",0.064327485380117,25,"(13.3,13.9]","Kbk","Kbk.3m
(Un)"
"222","WT.1m.Un",0.181286549707602,25,"(13.3,13.9]","WT","WT.1m
(Un)"
"223","WT.3m.DCF",0.157894736842105,25,"(13.3,13.9]","WT","WT.3m
(HPBCD)"
"224","WT.3m.DMSO_PEG",0.146198830409357,25,"(13.3,13.9]","WT","WT.3m
(PEG)"
"225","WT.3m.TCF",0.12280701754386,25,"(13.3,13.9]","WT","WT.3m
(TCF)"
"226","WT.3m.Un",0.128654970760234,25,"(13.3,13.9]","WT","WT.3m
(Un)"
