"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"Gria2",11.6487448634422,-1.2124740872635,0.552687330165491,-2.19377941394179,0.0282512714608253,NA,"Gria2"
"Ctso",138.795018603097,0.327337329930308,0.158214177597616,2.06895067749757,0.0385507153235189,0.392949376270617,"Ctso"
"Gucy1a1",1.93743748055451,-3.12569520236798,1.42934177821179,-2.18680741724241,0.0287565857792842,NA,"Gucy1a1"
"Map9",4.04105452393764,-2.52732128656116,0.956920374357263,-2.64109883568807,0.00826376080416436,NA,"Map9"
"Bcan",17.6581986959357,-1.77361778791779,0.524027395021396,-3.3845898225328,0.000712846912270901,NA,"Bcan"
"Gm3764",8.45197559917365,-1.88896835825075,0.673458334140861,-2.80487784097368,0.00503356528115508,NA,"Gm3764"
"Syt11",40.4111113767981,-0.842412066775047,0.274621481618968,-3.06753886043,0.00215829395830871,NA,"Syt11"
"Ash1l",256.691929916509,-0.301719590168232,0.125198913927899,-2.40992178527994,0.0159559407615988,0.268075733745263,"Ash1l"
"Dpm3",166.849456394433,0.372354409519756,0.156965018990513,2.37221268735208,0.0176819090587908,0.274803655555762,"Dpm3"
"Cks1b",8.50252874587152,1.26330646753322,0.598565381763645,2.11055718560093,0.0348103909883256,NA,"Cks1b"
"Rps27",2768.45640635022,0.358644884372924,0.113824932301234,3.15084645448136,0.0016279805019459,0.0728452292396133,"Rps27"
"Slc39a1",94.3180104655152,0.620066926867475,0.237585282507134,2.60987094959831,0.00905763847029619,0.188284768201433,"Slc39a1"
"S100a16",12.2522242600423,-1.14191949893262,0.479365607915213,-2.38214732153792,0.0172120100857822,NA,"S100a16"
"Psmb4",167.150480449876,0.39949068405425,0.157461720944337,2.53706540013919,0.0111786068738016,0.212313108970044,"Psmb4"
"Ctss",6491.80375161385,0.298775407808813,0.0848784269455053,3.52003940884338,0.000431482683175002,0.0316420634328335,"Ctss"
"Mrps21",139.342306358048,0.354220655616651,0.168150295429839,2.10657171140356,0.0351547209852863,0.378750675933424,"Mrps21"
"Notch2",96.1530368717293,0.809153659057927,0.242362055403928,3.33861527007339,0.000841970888983396,0.045777935023887,"Notch2"
"Tspan2",15.067076368665,-2.18922163156976,0.523439411400061,-4.18237829229208,2.88475452622644e-05,NA,"Tspan2"
"Gstm1",28.6142153796705,-0.79008280647775,0.356241005918681,-2.21783229148556,0.0265662694897388,NA,"Gstm1"
"Psma5",103.334957243134,0.384470653095572,0.173859683288964,2.211384754777,0.0270092046464349,0.340337468223944,"Psma5"
